lat,lng,Name,Type,Region,WetCave,Depth,Length,ShortDescription,LongDescription,RiggingGuide,Survey,EntranceImage,Image,SRT,Gear,FutherDescription
51.8309,-3.6812,"Aggy's Cave, Dan-yr-Ogof",Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7631,-3.6278,Baker's Pit Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7859,-3.6608,Upper Flood Swallet,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8053,-3.6345,Bone Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8113,-3.635,BP7,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7858,-3.6298,Cave of the Winds,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8179,-3.6383,Cathedral Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8149,-3.6645,Chwarel y Fan,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8228,-3.6428,Craig y Ffynnon,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8142,-3.635,Croydon Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8309,-3.6812,Dan-yr-Ogof,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7745,-3.6563,Porth Drain,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7633,-3.628,Dufferin Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8225,-3.645,Fforest Fawr,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8225,-3.645,Gap Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7633,-3.628,Garn Las,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7858,-3.6298,Giant's Hole,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7633,-3.628,Glynneath Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7633,-3.628,Grape Passage,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7633,-3.628,Gwal Slots,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7633,-3.628,Henllyd Swallet,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7633,-3.628,Lester's Pot,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7633,-3.628,Little Neath River Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7859,-3.6608,Lower Flood Swallet,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8149,-3.6645,Ogof y Ci,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8149,-3.6645,Ogof Capel,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8149,-3.6645,Ogof Ffynnon Ddu,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
53.1757,-3.2294,Ogof Hesp Alyn,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8149,-3.6645,Ogof Nant Rhin,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8149,-3.6645,Ogof y Garreg,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.8149,-3.6645,Ogof y Genedl,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7633,-3.628,Pwll y Cwm,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
51.7633,-3.628,Red Cow Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
54.20801932,-2.50996933,tiptop,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19214518,-2.50275171,akahole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19205087,-2.50276099,akahole.GPS,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20378496,-2.43932869,heronpot.topentrance,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.2070056,-2.44119807,heronpot.bottomentrance,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.2222465,-2.49432244,boundarypot.bdy1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.22078533,-2.49790019,wretchedrabbit.wra,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.22229815,-2.51633225,cowpot.cw,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.22141361,-2.49660228,poolsink.p1a,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.22471946,-2.49173685,topsink.t01c,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21987765,-2.49942995,countypot.cya,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.22054427,-2.49859924,cornersink.cns1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.22012423,-2.49885199,swindonhole.swh,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.22107337,-2.4968149,theborehole.b01,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19261214,-2.47062878,swinsto.swi01.1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20662503,-2.50574368,rumblinghole_2.101,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18010822,-2.48257542,brokenribpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.22097445,-2.4975462,slitsinks.ss02.029,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21410298,-2.5120301,peterson.pep.000,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20046707,-2.46136734,greenlaidspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21754119,-2.51300889,mistral.ms,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21775454,-2.5098564,linkpot.lk01,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.22074933,-2.49789132,newcave.new01,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21147906,-2.5055497,byegeorge.bg1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.22106458,-2.51676085,lancasterhole.l1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19992185,-2.51177802,kangohole.004,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21994427,-2.50197551,sylvesterpot.syl2.024,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.22099181,-2.49752079,newslitsinks.nss01.024,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18557178,-2.48945808,skylark_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21057474,-2.51744494,aluminiumbar_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20488535,-2.45758392,apprentice_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20616092,-2.45299868,backdoor_stream,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19306389,-2.47002086,beadstead_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19261633,-2.46955599,blood_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19406558,-2.46666036,brokenspring_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.2038034,-2.45849177,calf_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20344567,-2.45802791,cow_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18314554,-2.47818255,creakingdeath_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19727993,-2.51589925,deaddobbin_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19342517,-2.46956517,doublethree_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.1911784,-2.46953969,drip_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18407138,-2.46776442,keld_head.ent,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20635063,-2.45274012,midas,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18855836,-2.47303466,fagpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21046347,-2.45125184,battycave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18792323,-2.47455985,buzzerspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20666358,-2.45554918,slopinghole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18550336,-2.47284653,keldnookcave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18728627,-2.4765447,sheepfoldpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18673225,-2.48026205,kale_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18707041,-2.48558345,drifterpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18773288,-2.48399748,forgetmepot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18266613,-2.48568505,towscarcave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19132592,-2.44910362,kingpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18504011,-2.47636562,rapunzelpot1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18728627,-2.4765447,sheepfoldpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18733631,-2.48650602,highplainpot2,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20813577,-2.45363356,slantingcave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20461457,-2.45788753,craftsmanspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20108211,-2.44113952,brownhillpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19477762,-2.44475081,spectaclepot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.17983288,-2.47950793,cheesepressstonedig,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18419208,-2.48616263,unnamedandpreviouslyenjoyed,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18862277,-2.47947177,fathom_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18688386,-2.48726691,highplain_pot1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20693635,-2.50651406,humblepot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.17622489,-2.47825589,hunts_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18576936,-2.47376899,keldnook_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18597187,-2.46794831,keldscar_cave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18830246,-2.49203424,lamb_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20616208,-2.45269207,levitation_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20019868,-2.50581845,lost_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20019868,-2.50581845,lostpot_sink,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20761496,-2.51602807,meridian_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18571802,-2.48664025,motheringsunday_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19152529,-2.47276204,new_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20126031,-2.50981708,newrift_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18534112,-2.49092641,northendquarry_cave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20554861,-2.515849,owlfingerhole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20590612,-2.45621541,palmate_hole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21401272,-2.51212098,yeadon_pipikin_surface_survey.petersonspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20759307,-2.45454752,plantation_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.1851312,-2.4760602,rapunzel_pot2,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19360431,-2.46972046,red_cave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.17371398,-2.47684819,rolandrats_hole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.17291784,-2.47362206,safari_cave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20720015,-2.50789713,shortlongdrop_cave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20308327,-2.4587904,shout_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19468873,-2.46820007,simpson_cave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19568147,-2.46713839,simpson_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19261633,-2.46955599,suicide_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19233773,-2.47185175,swinsto_south,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19100343,-2.46831166,thorney_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.17302571,-2.46902762,thorntonforce_cave1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.17302571,-2.46902762,thorntonforce_cave2,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19965882,-2.50596514,tosspot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18773137,-2.47762252,track_cave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18628736,-2.47913825,unnamed_shaft1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18619443,-2.47990337,unnamed_shaft2,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20591006,-2.51539357,valentine_sink,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19870281,-2.4526105,valley_exit,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20308327,-2.4587904,whisper_pot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20026092,-2.4628121,jinglingpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21259101,-2.5195885,witchesii-2.002,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.226366,-2.51970648,bullpotofthewitches,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21552778,-2.51029006,pipsink.pipws.34,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20588791,-2.51287714,gavelpot.gvl2.000,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19154992,-2.46271997,valleyentrance.0,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20730483,-2.50700551,longdrop,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20209571,-2.50864514,startinghandlehole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18407138,-2.46776442,keld_headseries.kh01,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20684476,-2.50486741,rumblingbeckcave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21636599,-2.51880062,kirkpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19686326,-2.46411009,rowtenpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.1999099,-2.46250022,aquamole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.19154992,-2.46271997,roof_tunnel,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21681529,-2.51787632,peglegpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20822331,-2.50823166,bumblinghole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20018467,-2.46340724,jinglingcavetop2.9x,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.21460864,-2.52240624,witchescave,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.20361159,-2.45811866,bullpot,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18832926,-2.49145774,surfacemarblesteps2sink,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
54.18830622,-2.49179767,surfacemarblesteps.003,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
