lat,lng,Name,Type,Region,WetCave,Depth,Length,ShortDescription,LongDescription,RiggingGuide,Survey,EntranceImage,Image,SRT,Gear,FutherDescription,SurveyLink,Warnings,Refrences,
51.8309,-3.6812,"Aggy's Cave, Dan-yr-Ogof",Cave,South Wales,Yes,366m,"30,000m +",Agen Allwedd also known simply as Aggy is the longest cave system on Llangattock. The cave is a famous roost for bats which can be seen roosting in the side passages of the entrance series in the winter months. The cave system is one of the longest in the country with over 30km of passages and as such offers a number of classic caving trips.,"The Agen Allwedd entrance was first investigated on Christmas Eve 1949 by Brian Price and a couple of companions, who managed to move a boulder blocking progress. In a follow-up visit the passage was explored further but thought to close down. On the 2nd January 1950 accompanied by Harold Hicken, David Seagrove they found the way through to the main passage and explored it up to the First Boulder Choke. It was not until 1957 that the Hereford Caving Club managed to dig through this choke and enter the main complex of the cave. In late 2005 while digging in Iles Inlet in an attempt to find the elusive connection to Daren Cilau a team of explorers discovered 300m of the most beautiful passage in the system ending in the spectacularly decorated Corkscrew Chamber.",-,-,-,-,-,-,-,-,"Turkey Streamway and the Main Stream Passage should be avoided in wet weather.
The Second Boulder Choke should be treated with care as boulders have moved here in the past.","Cambrian Cave Registry entry for Agen Allwedd
Descent 188 Article p20-22 - The Courtesan Beckons | Tom Foord
Chelsea Spelæological Society Newsletter | December 2005 | John Stevens
Caves of South Wales | Tim Stratford | ISBN: 1-871890-03-9 | Published by Cordee
Selected Caves of Britain and Ireland | Des Marshall - Donald Rust | ISBN: 1-871890-43-8 | Cordee
A Caver's View of the Clydach River | Theo Schuurmans | Cwmbran Caving Club
An Exploration Journal of Llangattwg Mountain | Chelsea Spelaeological Society Records V19 - 1992",
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
51.2489,-2.6736,Eastwater Cavern,Cave, Somerset,Yes,152m,5,500m,Major cave system with vertical pitches and streamways.,"Discovered in 1902, Eastwater is one of Mendip's deepest caves. Features include the 'Big Chamber' and connections to St Cuthbert's Swallet. Requires SRT for the 45m entrance pitch.",SRT required,https://ukcaving.com/wiki/images/Eastwater_Survey.jpg,-,-,Yes,"SRT kit, wetsuit",Part of the Priddy Caves complex.,https://ukcaving.com/wiki/index.php/Eastwater_Cavern,Flood-prone streamway.,Mendip Caving Group; UBSS Journal Vol. 12.  
51.245,-2.68,St Cuthbert's Swallet,Cave, Somerset,Yes,140m,6,700m,Extensive cave system with complex verticality.,"One of Mendip's most challenging caves, featuring the 'Washing Machine' squeeze and 'Vesper Pot'. Connects to Eastwater Cavern and Priddy Green Sink.",SRT required,https://ukcaving.com/wiki/images/St_Cuthberts_Survey.jpg,-,-,Yes,"SRT kit, neoprene socks",Historic exploration site since 1887.,https://ukcaving.com/wiki/index.php/St_Cuthbert%27s_Swallow_Hole,High flood risk; technical rigging.,Descent Magazine #201; Mendip Cave Registry.  
51.26,-2.7,GB Cave,Cave, Somerset,Yes,90m,2,000m,Popular cave with varied obstacles.,Features include 'The Coffin' crawl and 'Lemon Squeeze' tight section. Often used for novice training trips.,Partial SRT,-,-,-,Partial,"Helmet, knee pads",Named after early 20th-century explorers.,-,Avoid after heavy rain.,Mendip Caving Group Handbook.  
51.29,-2.76,Hunter's Hole,Cave, Somerset,Yes,35m,500m,Short but intense cave with vertical drops.,"A wet, narrow cave requiring SRT for the 15m entrance pitch. Connects to Lamb Leer Cavern in flood conditions.",SRT required,-,-,-,Yes,"SRT kit, drysuit",Rarely explored due to tight passages.,-,Extreme flood danger.,Cheddar Caving Club Archives.  ,
51.24,-2.69,Longwood Swallet,Cave, Somerset,Yes,60m,1,200m,Stream passage cave with multiple sumps.,A seasonal cave that floods heavily. Features the 'Crystal Pool' and 'Black Hole' crawl.,-,-,-,-,No,"Wetsuit, waterproof light",Only accessible in dry seasons.,-,Unstable sumps.,Priddy Caves Field Guide.  
51.19,-2.5533,Thrupe Lane Swallet,Cave, Somerset,Yes,30m,400m,Small cave with a deep vertical shaft.,A collapsed mine shaft repurposed by cavers. Contains a 20m pitch and fossil-rich sediments.,SRT required,-,-,-,Yes,SRT kit,Used for beginner SRT practice.,-,Loose rocks near entrance.,Shepton Mallet Caving Club.  ,
51.2178,-2.4822,Manor Farm Swallet,Cave, Somerset,Partial,25m,300m,Shallow cave with historic mining debris.,A mix of natural cave and 18th-century lead mine. Features include 'The Dig' and 'Rat Run' crawl.,-,-,-,-,No,"Helmet, gloves",Access via landowner permission.,-,Low oxygen risk.,Mendip Mining Registry.  ,
51.3278,-2.7483,Sidcot Swallet,Cave, Somerset,Yes,40m,600m,Stream cave with seasonal waterfalls.,"A narrow, wet cave in Burrington Combe. Known for the 'Cascade' and 'Duck Under' sections.",-,-,-,-,Partial,"Wetsuit, helmet",Often used for winter trips.,-,Flash floods common.,UBSS Journal Vol. 8.  ,
