lat,lng,Name,Type,Region,WetCave,Depth,Length,ShortDescription,LongDescription,RiggingGuide,Survey,EntranceImage,Image,SRT,Gear,FutherDescription
-3.6812,51.8309,"Aggy's Cave, Dan-yr-Ogof",Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6278,51.7631,Baker's Pit Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6608,51.7859,Upper Flood Swallet,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6345,51.8053,Bone Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.635,51.8113,BP7,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6298,51.7858,Cave of the Winds,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6383,51.8179,Cathedral Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6645,51.8149,Chwarel y Fan,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6428,51.8228,Craig y Ffynnon,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.635,51.8142,Croydon Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6812,51.8309,Dan-yr-Ogof,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6563,51.7745,Porth Drain,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Dufferin Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.645,51.8225,Fforest Fawr,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.645,51.8225,Gap Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Garn Las,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6298,51.7858,Giant's Hole,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Glynneath Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Grape Passage,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Gwal Slots,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Henllyd Swallet,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Lester's Pot,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Little Neath River Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6608,51.7859,Lower Flood Swallet,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6645,51.8149,Ogof y Ci,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6645,51.8149,Ogof Capel,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6645,51.8149,Ogof Ffynnon Ddu,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.2294,53.1757,Ogof Hesp Alyn,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6645,51.8149,Ogof Nant Rhin,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6645,51.8149,Ogof y Garreg,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.6645,51.8149,Ogof y Genedl,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Pwll y Cwm,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-3.628,51.7633,Red Cow Cave,Cave,South Wales,-,-,-,-,-,-,-,-,-,-,-,-
-2.50996933,54.20801932,tiptop,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50275171,54.19214518,akahole,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.50276099,54.19205087,akahole.GPS,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.43932869,54.20378496,heronpot.topentrance,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.44119807,54.2070056,heronpot.bottomentrance,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49432244,54.2222465,boundarypot.bdy1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49790019,54.22078533,wretchedrabbit.wra,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.51633225,54.22229815,cowpot.cw,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49660228,54.22141361,poolsink.p1a,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49173685,54.22471946,topsink.t01c,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49942995,54.21987765,countypot.cya,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49859924,54.22054427,cornersink.cns1,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.49885199,54.22012423,swindonhole.swh,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
-2.4968149,54.22107337,theborehole.b01,Cave,Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-
