site_name,longitude,latitude,ngr,group,order,family,subfamily,tribe,species,ref,input_by,id,habitat,zone,cat,area,lgm,collector,notes,references
British Iron Mine,-2.6116004,51.776275,SO57900880,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR9:15,Graham S. Proudlove,0,Terrestrial habitat,DZ,Eutroglophile,Mine (various types),,"Collins, MDH",,
Bourne Spring at Cheddington,-0.66171106,51.839488,SP92301650,Turbellaria:Tricladida,,,,,Polycelis felina,BR11:157,Graham S. Proudlove,0,Aquatic habitat,Th,Eutroglophile,Spring,,"Glennie, EA",,
Reads Cave,-2.7645502,51.322564,ST46825844,Insecta:Collembola,Poduromorpha,Onychiuridae,,,Deuteraphorura cebennaria,BR10:223,Graham S. Proudlove,0,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Moseley, CM",,
Sir Francis Level,-2.0954599,54.397234,NY93900020,Insecta:Collembola,Entomobryomorpha,Tomoceridae,,,Tomocerus minor,BR8:39,Graham S. Proudlove,0,Terrestrial habitat,DZ,Eutroglophile,Mine (various types),NLGM,"Shevelan, J",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Coleoptera,Polyphaga,Staphylinidae,Staphylininae,Staphylinini,Quedius mesomelinus,BR1:1,Graham S. Proudlove,1,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Coleoptera,Polyphaga,Staphylinidae,Staphylininae,Staphylinini,Quedius mesomelinus,BR1:1,Graham S. Proudlove,2,Terrestrial habitat,DZ,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Coleoptera,Polyphaga,Staphylinidae,Staphylininae,Staphylinini,Quedius mesomelinus,BR1:1,Graham S. Proudlove,3,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Insecta:Coleoptera,Polyphaga,Staphylinidae,Oxytelinae,Thinobiini,Ochthephilus aureus,BR1:1,Graham S. Proudlove,4,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Bagshawe Cavern,-1.7432333,53.324745,SK17208090,Insecta:Coleoptera,Polyphaga,Staphylinidae,Omaliinae,Anthophagini,Lesteva pubescens,BR1:1,Graham S. Proudlove,5,Terrestrial habitat,DZ,Eutroglophile,Cave Peak District,,"Glennie, EA",,
Goatchurch Cavern,-2.7536123,51.320657,ST47585822,Insecta:Coleoptera,Polyphaga,Leiodidae,Platypsyllinae,,Leptinus testaceus,BR1:1,Graham S. Proudlove,6,Terrestrial habitat,DZ,Trogloxene,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Coleoptera,Polyphaga,Cryptophagidae,,,Cryptophagus setulosus,BR1:1,Graham S. Proudlove,7,Terrestrial habitat,Th,Trogloxene,Cave Mendip Hills,,"Glennie, EA",,
Sidcot Swallet,-2.7541951,51.321193,ST47545828,Insecta:Diptera,,Sphaeroceridae,Limosininae,,Herniosina bequaerti,BR1:1,Graham S. Proudlove,8,Terrestrial habitat,Th,Eutroglophile,Cave Mendip Hills,,"Glennie, EA",,
