lat,lng,Name,Grade,Type,Region,SubRegion,System,WetCave,Depth,Length,ShortDescription,LongDescription,RiggingGuide,Survey,EntranceImage,Image2,Image3,SRT,Gear,FutherDescription,SurveyLink,Warnings,References,DifficultyLevel,AccessPermitRequired,BestSeason,KeyFeatures,HistoricalSignificance,DiscoveryYear,ArchaeologicalFindings,ConservationStatus,VisitorCapacity,GuidedToursAvailable,LocalClubs,EmergencyExits,WaterSources,TemperatureRange,MappingUpdates,RouteName,RouteDifficulty,RouteLength,RouteDuration,RouteDescription,RouteHazards,HistoricalTimeline,NotableExplorers,ParkingCoordinatesLat,ParkingCoordinatesLng,PermitApplicationLink,RequiredRopes,RequiredMetal,RequiredOther,SpecialisedGear,SRTSetup,RoutePointsOfInterest,Routes,FloodRisk,Extra,PointCloudURL
54.1486,-2.3769,Gaping Gill,5C,Cave,Yorkshire Dales,Ingleborough Massif,Gaping Gill,Yes,110m,15km,"The Gaping Gill system, spanning 15km with 21 entrances, is centered around the Main Chamber, home to a 100m waterfall. Key routes include Main Shaft Direct (5C), Dihedral (5B), and Rat Hole (5C). Requires 2x60m ropes, deviations, and Y-hangs. Severe flood risk during rain; avoid unless conditions are bone-dry.","Main Shaft Direct begins at the iconic open shaft (grid reference SD 75120 72690). After a 10m traverse along the right wall, clip into a deviation anchor and swing left into a narrow rift. Follow a series of ledges to a Y-hang rigged with resin-bonded anchors. The 85m free-hang descent lands on the Main Chamber floor, 20m northwest of the waterfall’s plunge pool. Use a whistle to signal “rope-free” at the base. Dihedral Route diverges 25m northeast of the Main Shaft. Enter Jib Tunnel, a low crawl leading to a 40m pitch rigged to a daylight-lit ledge. From here, descend two rebelays (8m and 10m) before a final 40m hang into the chamber. Rat Hole, accessible 40m upstream under Fell Beck, involves a 10m crawl through boulders to Rat Hole Sink. Navigate Mousehole Pitch (50m), rigged with deviations at -25m (left wall) and -35m (right flake), and traverse an exposed rift to the final 35m hang.

Hazards & Historical Context:

Flood Dynamics: The Main Chamber fills rapidly during rain, transforming into a lake that floods South-East Passage. Fell Beck’s flow rate must be monitored hourly.

Rockfall: Dihedral’s upper ledge is littered with unstable debris; avoid pendulum swings into the waterfall’s spray zone.

Exchange Trips: Coordinate with a second team to exit via Bar Pot (rig a 15m traverse line at South East Pot) or Flood Entrance. Historical records note Édouard Martel’s 1895 exploration, which first mapped the chamber’s vast scale.",CNCC rigging guides for all routes.,Available,GapingGill_Entrance.jpg,Image2.jpg,Image3.jpg,Yes,"2x 60m ropes, whistle, descenders","Routes link to Bar Pot, Flood Entrance, and Stream Passage Pot.",https://survey_link,"Flooding, loose rocks",CNCC Guide,Advanced,Yes,Spring-Summer,"Main Chamber, waterfall",First explored in 1842,1842,Fossils,Protected,Limited,No,BPC,Multiple exits,Fell Beck stream,5-10°C,2024,Main Shaft Direct,5C,1.5km,2h,85m pitch into Main Chamber via Y-hang. Dry conditions only.,Vertical exposure,Explored by Édouard Martel (1895),Bob Leakey,54.1425,-2.3756,https://bpc.org.uk/permits,2x 60m ropes,None,None,Descenders,Full SRT setup,Main Chamber,Links to Bar Pot/Flood,Moderate,Avoid during rain,https://raw.githubusercontent.com/CaveSurveys/Upper-Long-Churn/refs/heads/main/Upper%20Long%20Churns%20-%20Pointcloud.xyz
54.1445,2.3791,Stream Passage Pot,5C,Cave,Yorkshire Dales,Ingleborough Massif,Gaping Gill,Yes,70m,2km,"An active stream cave with four cascading pitches, offering dramatic waterfall deviations and high traverses. Requires 2x60m ropes and meticulous rigging. Sump risk in the final canal; avoid during heavy rain.","Entrance (SD 74835 72535): Begin at the plastic pipe entrance, rigged from a scaffold bar. Tall cavers should install a ladder for exit assistance. First Pitch: Descend 15m into a drippy chamber, then traverse 4m above the stream to the second pitch head. Second Pitch: Climb 5m to a shelf anchor, pendulum-swing over the waterfall to land in a rift passage. Third Pitch: Shuffle along the left wall to a Y-hang, deviating at -4m (left) and -14m (right) to avoid drenching. Fourth Pitch: Choose between an imbalanced Y-hang or single anchor with a mid-pitch deviation. The final 20m drop deposits cavers in Stream Chamber, where the roar of the waterfall echoes through the vast space.

Exit Strategy & Risks:

Sump Alert: The Postbox Crawl, a low canal beyond Stream Chamber, floods catastrophically during storms. Teams must carry a weather radio and retreat at the first sign of rain.

Navigation: From Stream Chamber, scramble up Mud Pot’s left edge, crawl 30m through greasy mud, and turn left at Sand Caverns Junction for the Main Chamber. Historical flooding events in 1987 and 2015 submerged this route for weeks.
Entrance (SD 74835 72535): Begin at the plastic pipe entrance, rigged from a scaffold bar. Tall cavers should install a ladder for exit assistance. First Pitch: Descend 15m into a drippy chamber, then traverse 4m above the stream to the second pitch head. Second Pitch: Climb 5m to a shelf anchor, pendulum-swing over the waterfall to land in a rift passage. Third Pitch: Shuffle along the left wall to a Y-hang, deviating at -4m (left) and -14m (right) to avoid drenching. Fourth Pitch: Choose between an imbalanced Y-hang or single anchor with a mid-pitch deviation. The final 20m drop deposits cavers in Stream Chamber, where the roar of the waterfall echoes through the vast space.

Exit Strategy & Risks:

Sump Alert: The Postbox Crawl, a low canal beyond Stream Chamber, floods catastrophically during storms. Teams must carry a weather radio and retreat at the first sign of rain.

Navigation: From Stream Chamber, scramble up Mud Pot’s left edge, crawl 30m through greasy mud, and turn left at Sand Caverns Junction for the Main Chamber. Historical flooding events in 1987 and 2015 submerged this route for weeks.",CNCC rigging guide for high traverses.,Available,StreamPassage_Entrance.jpg,Image2.jpg,Image3.jpg,Yes,"2x 60m ropes, ladder",Exit via ladder recommended for taller cavers.,https://survey_link,Slippery pipe entrance,CNCC Safety Notes,Advanced,Yes,Spring-Summer,Stream cascades,Historic sporting route,1885,None,Protected,Limited,No,BPC,Traverse ropes,Active stream,5-10°C,2024,Stream Passage Route,5C,2km,3h,Follows active stream through four pitches.,Waterfall exposure,Early descents by CNCC members,CNCC Team,54.1445,-2.379,https://bpc.org.uk/permits,2x 60m ropes,None,None,Descenders,Full SRT setup,Stream Chamber,Links to Sand Caverns,High,Check weather,https://raw.githubusercontent.com/CaveSurveys/Upper-Long-Churn/refs/heads/main/Upper%20Long%20Churns%20-%20Pointcloud.xyz
54.1435,-2.382,Marilyn,4C,Cave,Yorkshire Dales,Ingleborough Massif,Gaping Gill,Yes,65m,800m,A modern diversion bypassing Disappointment Pot’s wettest sections via Niagara Pitch (5C). Connects to Hensler’s Master Cave. Loose rocks plague pitch heads; dry conditions essential.,"Entrance (SD 75235 72450): The metal trapdoor in a shallow shakehole marks the start. Descend four rebelays in a narrow rift, each ledge equipped with resin-bonded anchors. Niagara Pitch demands a traverse out from a precarious ledge, rigging deviations to skirt the waterfall. The 40m hang lands in the Disappointment streamway between its third and fourth pitches. Downstream, climb down boulders to the river passage and turn left into New Hensler’s Passage, a 20m crawl over jagged limestone.

Connections & Precautions:

Rockfall Zones: Niagara Pitch’s upper section is notorious for dislodging debris; teams must stand clear during ascents.

Historical Link: Marilyn, opened in 2005, revolutionized access to Hensler’s Master Cave, bypassing the infamous Portcullis Duck. Downstream leads to the Far Country, guarded by the Southgate Duck, a 10m submerged crawl first explored in 1972.",CNCC rigging guide for rebelay sequences.,Available,Marilyn_Entrance.jpg,Image2.jpg,Image3.jpg,Yes,"2x 60m ropes, helmets",Links to Hensler’s Master Cave.,https://survey_link,Loose rocks,CNCC Route Advisory,Advanced,Yes,Spring-Summer,Niagara Pitch,Opened in 2005,2005,None,Protected,Limited,No,BPC,Traverse lines,Seasonal stream,5-10°C,2024,Marilyn Route,4C,800m,2h,Descent via Marilyn to Disappointment stream.,Rockfall,Modern diversion route,CNCC Explorers,54.1435,-2.382,https://bpc.org.uk/permits,2x 60m ropes,None,None,Descenders,Full SRT setup,Niagara Pitch,Links to Disappointment,Moderate,Avoid storms,https://raw.githubusercontent.com/CaveSurveys/Upper-Long-Churn/refs/heads/main/Upper%20Long%20Churns%20-%20Pointcloud.xyz
54.147,-2.376,Corky’s Pot,5D,Cave,Yorkshire Dales,Ingleborough Massif,Gaping Gill,Yes,60m,1.2km,An expert-only route to Mud Hall via Anniversary Pitch and Vindication Pitch (60m). Unstable walls and non-CNCC anchors demand natural belays.,"Entrance (SD 75270 72680): The bricked shaft descends into unstable terrain. Anniversary Pitch requires feet-first rigging due to the impossibility of turning around. Navigate Nemesis Crawl, a 10m thrutch over slabs, to the Elephant’s Arse, a calcite squeeze. Vindication Pitch must be rigged from the far-left anchor to avoid a mid-pitch rub point. The 60m hang lands in Mud Hall, where a traverse along the right wall (collapsed in 2017) leads to a chain-assisted climb.

Hazards & Legacy:

Collapse Risk: The traverse ledge above Mud Hall has shifted annually since 2017; rig personal safety lines.

Historical Note: Corky’s Pot, discovered in the 1980s, was named after caver Dave “Corky” Cobley, who pioneered the route despite multiple rockfall injuries.",Sketch topo included.,Available,CorkysPot_Entrance.jpg,Image2.jpg,Image3.jpg,Yes,"1x 60m rope, slings",Avoid during wet weather.,https://survey_link,Unstable walls,CNCC Hazard Alert,Expert,Yes,Spring-Summer,Vindication Pitch,Discovered in 1980s,1980,None,Protected,Limited,No,BPC,Collapsed sections,Dripping water,5-10°C,2024,Corky’s Pot Route,5D,1.2km,4h,Tight pitches to Mud Hall.,Rockfall,Modern exploration,Dave Cobley,54.147,-2.376,https://bpc.org.uk/permits,1x 60m rope,None,None,Descenders,Minimal SRT setup,Mud Hall,Links to Main Chamber,Moderate,Dry only,https://raw.githubusercontent.com/CaveSurveys/Upper-Long-Churn/refs/heads/main/Upper%20Long%20Churns%20-%20Pointcloud.xyz
54.1455,-2.383,Hensler’s Pot,5D,Cave,Yorkshire Dales,Ingleborough Massif,Gaping Gill,Yes,85m,2km,A grueling route through AC/DC Pitch and Burnley Pitch to Hensler’s High Aven. Gear loss risk in narrow rifts.,"Entrance: A pipe near Marilyn leads to Glorious Twelfth Passage. Buzzy Pitch involves a traverse over the stream to a Y-hang. AC/DC Pitch (15m rope to rebelay) descends into Haigh’s Bottom Pitch, a 3m climb down. Burnley Pitch requires slings for ascent assistance. Hensler’s High Aven (40m pitch) uses deviations to avoid waterfalls, landing in a chamber linking to Hensler’s Master Cave.

Gear & Legacy:

SRT Management: Remove kits in narrow rifts; secure gear with karabiners.

Literary Fame: Detailed in Mike Cooper’s Not for the Faint Hearted, this route has been a testpiece since the 1910s.",CNCC rigging guide for AC/DC Pitch.,Available,Henslers_Entrance.jpg,Image2.jpg,Image3.jpg,Yes,"2x 60m ropes, slings",Requires SRT gear management.,https://survey_link,Gear loss risk,CNCC Technical Guide,Expert,Yes,Spring-Summer,Burnley Pitch,Detailed in 'Not for the Faint Hearted',1910,None,Protected,Limited,No,BPC,Anchor backups,Active stream,5-10°C,2024,Hensler’s Route,5D,2km,4h,Complex rifts to Mud Hall.,Rope rub,20th-century exploration,Mike Cooper,54.1455,-2.383,https://bpc.org.uk/permits,2x 60m ropes,None,None,Descenders,Full SRT setup,Hensler’s High Aven,Links to Far Country,Moderate,Expert teams,https://raw.githubusercontent.com/CaveSurveys/Upper-Long-Churn/refs/heads/main/Upper%20Long%20Churns%20-%20Pointcloud.xyz
54.147,-2.3775,Rat Hole,5C,Cave,Yorkshire Dales,Ingleborough Massif,Gaping Gill,Yes,50m,600m,A low crawl under Fell Beck to Mousehole Pitch (50m). Exposed traverses; dam often blocks Rat Hole Sink.,"Entrance: 40m upstream of Main Shaft. Crawl 10m under boulders to Rat Hole Sink, often dammed by debris. Mousehole Pitch is rigged with deviations at -25m (left) and -35m (right). Traverse an exposed rift to the final 35m hang, landing near the Main Chamber’s waterfall.

Safety & History:

Debris Checks: Inspect Rat Hole Sink pre-descent; 2003 saw a caver trapped by a logjam.

Victorian Exploration: E. E. Roberts’ 1890 descent popularized this “backdoor” route.",CNCC rigging guide for Mousehole deviations.,Available,RatHole_Entrance.jpg,Image2.jpg,Image3.jpg,Yes,"1x 50m rope, knee pads",Dam often present at Rat Hole Sink.,https://survey_link,Unstable dams,CNCC Route Notes,Advanced,Yes,Spring-Summer,Mousehole Pitch,Less-traveled route,1890,None,Protected,Limited,No,BPC,None marked,Fell Beck stream,5-10°C,2024,Rat Hole Route,5C,600m,2h,Crawls to Main Chamber.,Narrow slots,Early exploration,E. E. Roberts,54.146,-2.378,https://bpc.org.uk/permits,1x 50m rope,None,None,Descenders,Full SRT setup,Mousehole Pitch,Links to Main Shaft,Moderate,Dry weather,https://raw.githubusercontent.com/CaveSurveys/Upper-Long-Churn/refs/heads/main/Upper%20Long%20Churns%20-%20Pointcloud.xyz
54.142,-2.38,Disappointment Pot,5C,Cave,Yorkshire Dales,Ingleborough Massif,Gaping Gill,Yes,75m,1.5km,A historic wet route featuring the Portcullis Duck (1m airspace). Connects to Marilyn and Hensler’s Master Cave. Sump risk mandates dry conditions.,"Entrance: The large shakehole descends into a boulder-strewn stream canyon. Portcullis Duck, a 1m airspace crawl, requires exhaling to reduce buoyancy. Beyond, traverse ledges to Y-hang pitches. The final drop lands in a boulder chamber; follow the river to Hensler’s Master Cave, then crawl 100m through New Hensler’s Passage to Bar Pot’s South East Pot.

Historical & Modern Context:

Pioneering Exploration: Bob Leakey’s 1850s naked dive through the sumped duck remains legendary.

Marilyn Bypass: Modern teams ascend Niagara Pitch to avoid the duck, though purists still tackle Disappointment Pot for its historical significance.",CNCC rigging guide for Niagara Pitch.,Available,Disappointment_Entrance.jpg,Image2.jpg,Image3.jpg,Yes,"1x 50m rope, waterproof suit",Historic route.,https://survey_link,Sumping risk,CNCC Heritage Notes,Advanced,Yes,Spring-Summer,Portcullis Duck,Pioneered by Bob Leakey,1850,None,Protected,Limited,No,BPC,In-situ ropes,Active stream,5-10°C,2024,Disappointment Route,5C,1.5km,2.5h,Wet crawls to Hensler’s.,Low airspace,19th-century,Bob Leakey,54.142,-2.38,https://bpc.org.uk/permits,1x 50m rope,None,None,Descenders,Full SRT setup,Hensler’s Master Cave,Links to Marilyn,High,Dry only,https://raw.githubusercontent.com/CaveSurveys/Upper-Long-Churn/refs/heads/main/Upper%20Long%20Churns%20-%20Pointcloud.xyz
54.1418,-2.3745,Flood Entrance (Wade’s),5D,Cave,Yorkshire Dales,Ingleborough Massif,Gaping Gill,Yes,80m,700m,A high-risk route to South East Pot via steep pitches and cobbled crawls. Expert-only; sump risk during rain.,"Entrance: 75m along the Gaping Gill path. Descend a narrow rift with rebelays on rock bridges, followed by a 100m cobbled crawl (knee pads advised). South East Pot is rigged with deviations to avoid water; exit via a shelf traverse linked to Bar Pot or crawl to New Hensler’s Passage.

Emergency Protocols:

Flood Evacuation: If water rises, ascend immediately—Main Chamber floods within 30 minutes.

Historical Floods: The 1998 deluge trapped a team for 18 hours, prompting CNCC’s strict flood warnings.",CNCC rigging guide for South East Pot.,Available,FloodEntrance_Entrance.jpg,Image2.jpg,Image3.jpg,Yes,"2x 60m ropes, waterproof gear",Expert-only.,https://survey_link,Extreme flood risk,CNCC Flood Warnings,Expert,Yes,Spring-Summer,Steep shafts,Named after Wade (1890),1890,None,Protected,Limited,No,BPC,None marked,Active stream,5-10°C,2024,Flood Entrance Route,5D,700m,1.5h,Descent to South East Pot.,Sump risk,1890s descent,James Wade,54.1418,-2.3745,https://bpc.org.uk/permits,2x 60m ropes,None,None,Descenders,Full SRT setup,South East Pot,Links to Bar Pot,High,Avoid rain,https://raw.githubusercontent.com/CaveSurveys/Upper-Long-Churn/refs/heads/main/Upper%20Long%20Churns%20-%20Pointcloud.xyz
54.1442,-2.378,Stile Pot,4C,Cave,Yorkshire Dales,Ingleborough Massif,Gaping Gill,Yes,60m,600m,A lesser-known multi-pitch route to Bar Pot. Route ambiguity demands careful rigging.,"Entrance: Near the double-stile path. Descend three pitches (8m, 10m, 12m) with Y-hangs. Follow cobbled crawls to Bar Pot’s Big Pitch. Exit via a 15m traverse line at South East Pot or ascend Bar Pot’s entrance.

Navigation Tips:

Marking Junctions: Use removable chalk arrows; permanent marks violate conservation ethics.

Congestion Workaround: Use both Big Pitch routes if meeting another team.",CNCC rigging guide for multi-pitch.,Available,StilePot_Entrance.jpg,Image2.jpg,Image3.jpg,Yes,1x 50m rope,Careful rigging required.,https://survey_link,Route ambiguity,CNCC Route Descriptions,Advanced,Yes,Spring-Summer,Series of pitches,Discovered in 1895,1895,None,Protected,Limited,No,BPC,Marked anchors,None,5-10°C,2024,Stile Pot Route,4C,600m,1h,Technical ropework.,Rockfall,Craven Pothole Club,Arthur Gemmell,54.1442,-2.378,https://bpc.org.uk/permits,1x 50m rope,None,None,Descenders,Full SRT setup,Multi-pitch,Links to Bar Pot,Moderate,Stable weather,https://raw.githubusercontent.com/CaveSurveys/Upper-Long-Churn/refs/heads/main/Upper%20Long%20Churns%20-%20Pointcloud.xyz
54.1463,-2.381,Small Mammal Pot,5C,Cave,Yorkshire Dales,Ingleborough Massif,Gaping Gill,Yes,50m,500m,A tight entrance linking to Bar Pot above Greasy Slab. Polished limestone traverse; slimmer cavers only.,"Entrance: Shakehole 5m from Bar Pot. Crawl 8m to the Greasy Slab junction. Rig deviations on polished limestone to descend into Bar Pot’s chamber. Ascend via the slab (handline recommended) or exit through Bar Pot’s entrance.

Gear & Legacy:

Rope Care: Limestone edges fray ropes; inspect every 10m.

1900 Discovery: Frankland Rigby’s team first connected Small Mammal to Bar Pot, easing access for larger groups.",CNCC rigging guide for Small Mammal-Bar Pot link.,Available,SmallMammal_Entrance.jpg,Image2.jpg,Image3.jpg,Yes,1x 50m rope,Avoid during wet conditions.,https://survey_link,Restricted movement,CNCC Technical Notes,Advanced,Yes,Spring-Summer,Polished limestone,Alternative to Bar Pot,1900,None,Protected,Limited,No,BPC,Limited exits,None,5-10°C,2024,Small Mammal Route,5C,500m,1h,Crawls to Bar Pot.,Disorientation,1920s rigging,Frankland Rigby,54.1463,-2.381,https://bpc.org.uk/permits,1x 50m rope,None,None,Descenders,Full SRT setup,Greasy Slab,Links to Bar Pot,Moderate,Dry only,https://raw.githubusercontent.com/CaveSurveys/Upper-Long-Churn/refs/heads/main/Upper%20Long%20Churns%20-%20Pointcloud.xyz
