lat,lng,Name,Grade,Type,Region,SubRegion,System,WetCave,Depth,Length,ShortDescription,LongDescription,RiggingGuide,Survey,EntranceImage,Image2,Image3,SRT,Gear,FutherDescription,SurveyLink,Warnings,References,DifficultyLevel,AccessPermitRequired,BestSeason,KeyFeatures,HistoricalSignificance,DiscoveryYear,ArchaeologicalFindings,ConservationStatus,VisitorCapacity,GuidedToursAvailable,LocalClubs,EmergencyExits,WaterSources,TemperatureRange,MappingUpdates,RouteName,RouteDifficulty,RouteLength,RouteDuration,RouteDescription,RouteHazards,HistoricalTimeline,NotableExplorers,ParkingCoordinatesLat,ParkingCoordinatesLng,PermitApplicationLink,RequiredRopes,RequiredMetal,RequiredOther,SpecialisedGear,SRTSetup,RoutePointsOfInterest,Routes,FloodRisk,Extra,PointCloudURL,Polygon
54.1350818,-2.3771786,Beck Head Stream Cave,,Mine,North Yorkshire,Cononley and Glusburn,,Yes,82m,2km,"19th?C lead mine featuring intact engine house, 50?ft chimney, gunpowder magazine, forge, shaft and inclined plane portals","Developed from 1842 by Duke of Devonshire. Peak production ~804?t in 1850, averaging ~470?t/y 1840–70. Closed 1881; reopened for barytes 1920s–30s (19?600?t recovered). Final mining 1958. Structures Grade?II listed. ",Dig,Not Available,,,,,,,,,,,,All Year,,,,,,,,,,,,,,5D,2km,1,,"Warnings: Unstable structures; steep shafts; no public lighting or barriers  RouteHazards: Loose masonry, unguarded shafts, uneven ground  FloodRisk: Minimal; no active water inflows reported, but deep adits may contain hidden pools  EmergencyExits: None formal—entry should be visual only; underground access strongly discouraged",,,,,,,,,,,,,,,,
53.5664651,-2.5869799,No 3 Moor Pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.5661657,-2.5919366,Fothershaw Pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.568109,-2.5910354,Crawford No 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.5631772,-2.5904882,Hedge Pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.5606728,-2.5884283,Barn Pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.5550199,-2.6053584,Churn Pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.5626355,-2.5943399,Five Acre Pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.5641139,-2.5946295,Horse Pasture Pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.5664779,-2.5998116,New Wash Pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
